time,x,y,z
7.611,-0.01,-0.01,-0.05
7.632,-0.01,0.00,-0.06
7.652,-0.01,-0.01,-0.04
7.671,-0.01,0.00,-0.02
7.690,-0.00,0.01,-0.05
7.711,-0.02,-0.01,-0.06
7.731,-0.02,0.01,-0.03
7.752,0.01,-0.00,-0.04
7.771,0.00,-0.00,-0.04
7.796,-0.01,-0.01,-0.05
7.812,-0.01,-0.02,-0.05
7.832,0.00,-0.01,-0.01
7.852,-0.00,-0.01,-0.04
7.872,-0.00,0.01,-0.05
7.894,-0.01,0.01,-0.03
7.912,-0.01,0.01,-0.03
7.932,-0.01,-0.02,-0.06
7.952,0.00,-0.01,-0.04
7.971,-0.01,0.02,-0.05
7.994,0.02,-0.02,-0.00
8.012,-0.04,0.03,-0.05
8.032,0.01,-0.03,-0.06
8.052,-0.00,0.01,-0.04
8.074,0.01,-0.02,-0.05
8.092,-0.02,-0.03,-0.05
8.111,0.00,-0.02,-0.09
8.133,-0.03,0.02,-0.09
8.152,0.04,0.03,-0.00
8.172,-0.00,-0.02,-0.01
8.194,-0.00,-0.04,-0.05
8.212,0.02,0.03,-0.06
8.232,-0.03,0.01,-0.06
8.254,0.02,-0.02,-0.00
8.273,-0.00,-0.02,-0.04
8.293,0.01,-0.00,-0.04
8.312,0.01,0.01,-0.04
8.333,-0.00,0.01,-0.05
8.354,0.01,-0.01,-0.01
8.372,-0.01,-0.04,-0.05
8.392,0.01,0.01,-0.04
8.412,-0.01,0.03,-0.06
8.433,-0.01,-0.02,-0.05
8.454,-0.01,-0.00,-0.04
8.473,-0.00,-0.02,-0.03
8.493,0.01,-0.01,-0.07
8.513,0.01,0.02,-0.06
8.534,-0.02,0.01,-0.03
8.554,-0.01,-0.00,-0.02
8.573,-0.01,-0.01,-0.02
8.593,0.01,-0.01,-0.02
8.614,0.01,-0.01,-0.05
8.633,-0.01,-0.02,-0.06
8.654,-0.03,-0.01,-0.01
8.674,0.00,0.01,-0.04
8.692,0.00,-0.00,-0.05
8.714,0.02,-0.02,-0.03
8.733,-0.02,0.00,-0.06
8.754,-0.00,0.02,-0.03
8.775,0.01,0.00,-0.04
8.794,0.00,0.00,-0.01
8.813,-0.00,-0.00,-0.02
8.834,0.01,-0.02,-0.06
8.854,-0.03,-0.02,-0.07
8.874,-0.00,0.00,-0.05
8.894,0.01,0.03,-0.04
8.914,0.01,-0.01,-0.03
8.934,0.02,-0.02,-0.04
8.954,-0.00,0.02,-0.08
8.973,0.02,0.02,-0.07
8.994,0.00,0.01,-0.05
9.014,-0.01,-0.02,-0.03
9.034,0.01,-0.01,-0.04
9.054,0.01,0.00,-0.07
9.074,0.02,0.01,-0.07
9.094,0.01,-0.01,-0.05
9.114,0.01,-0.00,-0.04
9.134,0.00,0.00,-0.06
9.154,-0.02,-0.01,-0.03
9.175,0.01,-0.00,-0.03
9.194,-0.00,0.00,-0.04
9.214,-0.01,0.01,-0.02
9.233,-0.00,0.00,-0.05
9.254,0.02,0.02,-0.05
9.273,0.02,-0.01,-0.04
9.294,-0.04,0.01,-0.06
9.314,0.00,0.02,-0.03
9.333,0.01,-0.01,-0.04
9.353,-0.00,-0.00,-0.03
9.375,0.01,0.01,-0.05
9.394,-0.01,-0.01,-0.08
9.415,0.01,-0.00,-0.02
9.435,-0.01,0.01,-0.03
9.454,0.00,0.01,-0.08
9.475,0.00,0.02,-0.06
9.494,0.01,0.00,-0.03
9.515,0.00,-0.01,-0.03
9.536,-0.01,0.02,-0.06
9.555,0.00,0.00,-0.04
9.576,0.01,0.01,-0.06
9.595,0.00,-0.01,-0.02
9.614,0.00,-0.02,-0.04
9.635,-0.01,0.03,-0.02
9.654,-0.00,-0.00,-0.01
9.676,-0.01,-0.00,-0.05
9.694,0.00,0.00,-0.07
9.714,-0.00,0.01,-0.05
9.735,-0.00,0.00,-0.02
9.755,-0.01,-0.00,-0.04
9.776,-0.01,0.01,-0.06
9.795,0.00,0.01,-0.05
9.814,-0.01,-0.01,-0.05
9.836,0.01,-0.00,-0.03
9.854,-0.01,0.00,-0.05
9.877,-0.00,-0.00,-0.05
9.895,-0.01,-0.01,-0.04
9.916,-0.01,0.01,-0.03
9.935,0.00,0.03,-0.03
9.956,0.01,0.00,-0.02
9.975,-0.02,-0.00,-0.05
9.995,0.00,0.01,-0.01
10.016,-0.00,-0.01,-0.03
10.035,0.01,0.00,-0.04
10.054,-0.01,0.01,-0.03
10.076,-0.01,-0.00,-0.05
10.096,-0.02,0.00,-0.06
10.115,-0.00,0.00,-0.05
10.135,0.00,-0.00,-0.05
10.156,0.01,0.00,-0.05
10.176,0.02,0.01,-0.06
10.196,-0.01,-0.01,-0.06
10.216,0.00,-0.02,-0.04
10.235,0.00,0.00,-0.05
10.256,0.01,0.01,-0.06
10.276,-0.01,0.00,-0.05
10.296,0.00,-0.01,-0.03
10.316,0.01,0.00,-0.04
10.335,-0.00,0.01,-0.05
10.355,-0.02,0.01,-0.06
10.376,-0.01,0.00,-0.08
10.395,0.02,0.00,-0.05
10.416,0.00,-0.00,-0.05
10.434,0.02,0.01,-0.04
10.457,0.01,0.00,-0.05
10.477,-0.02,-0.00,-0.02
10.496,0.00,-0.02,-0.03
10.517,-0.00,0.00,-0.04
10.536,0.02,0.01,-0.05
10.557,0.00,0.01,-0.03
10.576,-0.00,-0.03,-0.04
10.596,-0.02,-0.03,-0.05
10.616,0.00,-0.00,-0.05
10.636,0.02,0.00,-0.03
10.658,0.01,0.00,-0.06
10.676,-0.01,-0.01,-0.05
10.696,-0.01,-0.01,-0.02
10.716,-0.01,0.02,-0.02
10.736,0.01,0.02,-0.04
10.758,0.02,-0.00,-0.05
10.777,0.00,-0.01,-0.04
10.797,-0.02,0.01,-0.03
