time,x,y,z
4.980,-0.08,0.12,-0.06
5.000,-0.09,0.13,-0.05
5.020,-0.06,0.13,-0.04
5.040,-0.08,0.14,-0.03
5.060,-0.08,0.14,-0.05
5.079,-0.11,0.13,-0.07
5.100,-0.08,0.14,-0.04
5.120,-0.08,0.15,-0.06
5.140,-0.07,0.13,-0.04
5.159,-0.09,0.14,-0.05
5.179,-0.10,0.13,-0.05
5.201,-0.08,0.15,-0.04
5.221,-0.07,0.13,-0.03
5.242,-0.07,0.12,-0.04
5.261,-0.08,0.15,-0.05
5.280,-0.09,0.14,-0.05
5.300,-0.09,0.13,-0.06
5.321,-0.07,0.16,-0.03
5.341,-0.08,0.13,-0.03
5.361,-0.08,0.16,-0.02
5.381,-0.09,0.14,-0.01
5.401,-0.08,0.14,-0.04
5.421,-0.08,0.14,-0.02
5.442,-0.08,0.12,-0.04
5.461,-0.08,0.12,-0.04
5.481,-0.07,0.13,-0.01
5.501,-0.08,0.14,-0.02
5.521,-0.06,0.12,-0.02
5.541,-0.06,0.12,-0.02
5.561,-0.09,0.13,-0.05
5.581,-0.07,0.13,-0.04
5.602,-0.08,0.13,-0.07
5.622,-0.07,0.13,-0.06
5.641,-0.07,0.13,-0.04
5.660,-0.09,0.12,-0.05
5.682,-0.08,0.14,-0.05
5.701,-0.06,0.14,-0.07
5.722,-0.09,0.12,-0.05
5.741,-0.07,0.14,-0.03
5.762,-0.07,0.12,-0.03
5.782,-0.09,0.10,-0.04
5.801,-0.07,0.13,-0.04
5.822,-0.07,0.14,-0.07
5.842,-0.07,0.12,-0.04
5.861,-0.07,0.11,-0.03
5.880,-0.09,0.11,-0.03
5.902,-0.07,0.13,-0.04
5.922,-0.05,0.14,-0.04
5.942,-0.08,0.11,-0.06
5.961,-0.07,0.15,-0.05
5.981,-0.09,0.11,-0.04
6.001,-0.08,0.13,-0.06
6.022,-0.04,0.11,-0.04
6.042,-0.08,0.12,-0.06
6.064,-0.09,0.12,-0.05
6.082,-0.08,0.13,-0.03
6.102,-0.06,0.13,-0.03
6.122,-0.07,0.13,-0.04
6.142,-0.07,0.13,-0.06
6.163,-0.06,0.12,-0.02
6.182,-0.07,0.13,-0.03
6.202,-0.07,0.11,-0.02
6.223,-0.09,0.11,-0.05
6.242,-0.07,0.13,-0.05
6.262,-0.06,0.12,-0.01
6.282,-0.05,0.12,-0.02
6.303,-0.05,0.12,-0.04
6.324,-0.07,0.12,-0.05
6.342,-0.06,0.13,-0.02
6.363,-0.07,0.12,-0.07
6.382,-0.06,0.13,-0.04
6.403,-0.07,0.11,-0.04
6.423,-0.06,0.14,-0.03
6.444,-0.05,0.12,-0.05
6.462,-0.07,0.11,-0.08
6.482,-0.05,0.12,-0.03
6.501,-0.05,0.13,-0.04
6.523,-0.06,0.11,-0.03
6.542,-0.07,0.12,-0.06
6.563,-0.08,0.11,-0.05
6.583,-0.06,0.12,-0.05
6.604,-0.05,0.12,-0.04
6.623,-0.05,0.11,-0.05
6.642,-0.06,0.11,-0.06
6.662,-0.07,0.11,-0.03
6.683,-0.08,0.12,-0.05
6.703,-0.05,0.11,-0.06
6.723,-0.08,0.10,-0.06
6.742,-0.06,0.10,-0.04
6.763,-0.06,0.12,-0.04
6.782,-0.09,0.12,-0.07
6.803,-0.06,0.12,-0.04
6.822,-0.09,0.08,-0.03
6.844,-0.06,0.10,-0.06
6.863,-0.05,0.13,-0.08
6.883,-0.08,0.12,-0.06
6.903,-0.07,0.10,-0.02
6.923,-0.08,0.10,-0.04
6.944,-0.07,0.10,-0.05
6.963,-0.05,0.10,-0.05
6.984,-0.06,0.11,-0.04
7.002,-0.06,0.11,-0.04
7.023,-0.08,0.10,-0.04
7.042,-0.06,0.12,0.01
7.064,-0.06,0.11,-0.05
7.082,-0.06,0.10,-0.09
7.106,-0.06,0.11,0.00
7.124,-0.08,0.12,-0.04
7.143,-0.04,0.11,-0.03
7.164,-0.06,0.10,-0.06
7.184,-0.05,0.09,-0.03
7.205,-0.06,0.12,-0.03
7.223,-0.08,0.08,-0.03
7.245,-0.05,0.11,-0.04
7.264,-0.05,0.12,-0.04
7.284,-0.05,0.10,-0.03
7.305,-0.09,0.10,-0.04
7.324,-0.06,0.10,-0.00
7.344,-0.07,0.11,-0.04
7.365,-0.05,0.11,-0.03
7.384,-0.06,0.10,-0.05
7.405,-0.07,0.08,-0.05
7.423,-0.05,0.11,-0.05
7.443,-0.08,0.11,-0.06
7.464,-0.05,0.11,-0.06
7.484,-0.03,0.11,-0.06
7.505,-0.05,0.10,-0.03
7.523,-0.04,0.10,-0.00
7.544,-0.04,0.12,-0.05
7.564,-0.09,0.10,-0.04
7.583,-0.05,0.10,-0.07
7.604,-0.07,0.10,-0.07
7.623,-0.07,0.08,-0.02
7.644,-0.08,0.10,-0.05
7.663,-0.07,0.10,-0.06
7.684,-0.08,0.10,-0.07
7.704,-0.02,0.11,-0.03
7.724,-0.08,0.09,-0.03
7.744,-0.06,0.08,-0.05
7.765,-0.06,0.09,-0.06
7.784,-0.05,0.10,-0.06
7.804,-0.05,0.09,-0.05
7.825,-0.07,0.08,-0.06
7.844,-0.05,0.11,-0.03
7.865,-0.05,0.11,-0.05
7.884,-0.05,0.09,-0.06
7.904,-0.04,0.10,-0.07
7.925,-0.06,0.08,-0.04
7.945,-0.07,0.09,-0.05
7.965,-0.06,0.09,-0.08
7.984,-0.06,0.10,-0.05
8.004,-0.07,0.09,-0.05
8.024,-0.06,0.09,-0.03
8.045,-0.05,0.10,-0.05
8.065,-0.05,0.10,-0.06
8.085,-0.04,0.08,-0.06
8.104,-0.05,0.08,-0.05
8.125,-0.04,0.07,-0.06
8.145,-0.08,0.09,-0.08
8.165,-0.05,0.10,-0.05
8.185,-0.06,0.09,-0.04
8.204,-0.06,0.07,-0.05
8.225,-0.06,0.10,-0.07
8.246,-0.06,0.08,-0.03
8.267,-0.07,0.10,-0.06
8.286,-0.05,0.09,-0.06
8.305,-0.05,0.07,-0.06
8.325,-0.05,0.09,-0.06
8.346,-0.05,0.09,-0.06
8.365,-0.05,0.08,-0.06
8.385,-0.05,0.08,-0.03
8.405,-0.07,0.09,-0.06
8.426,-0.05,0.09,-0.06
8.446,-0.05,0.09,-0.04
8.466,-0.05,0.07,-0.06
8.485,-0.05,0.08,-0.05
8.506,-0.06,0.08,-0.06
8.525,-0.04,0.09,-0.04
8.546,-0.05,0.09,-0.05
8.567,-0.07,0.09,-0.05
8.585,-0.05,0.08,-0.06
8.606,-0.04,0.09,-0.05
8.625,-0.04,0.07,-0.04
8.647,-0.05,0.08,-0.07
8.667,-0.04,0.07,-0.04
8.685,-0.06,0.07,-0.05
8.707,-0.04,0.10,-0.03
8.726,-0.05,0.08,-0.06
8.746,-0.05,0.08,-0.07
8.767,-0.05,0.09,-0.05
8.785,-0.06,0.07,-0.05
8.806,-0.05,0.08,-0.03
8.826,-0.06,0.10,-0.05
8.846,-0.06,0.09,-0.04
8.867,-0.06,0.08,-0.05
8.886,-0.05,0.09,-0.02
8.907,-0.06,0.09,-0.07
8.926,-0.04,0.08,-0.05
8.947,-0.04,0.08,-0.04
8.966,-0.04,0.08,-0.04
8.986,-0.05,0.09,-0.04
9.008,-0.07,0.08,-0.06
9.027,-0.06,0.09,-0.04
9.047,-0.06,0.09,-0.05
9.066,-0.05,0.09,-0.04
9.089,-0.04,0.09,-0.05
9.108,-0.05,0.08,-0.06
9.126,-0.04,0.08,-0.05
9.147,-0.06,0.08,-0.04
9.168,-0.05,0.08,-0.03
9.186,-0.06,0.08,-0.07
9.207,-0.04,0.07,-0.04
9.226,-0.05,0.07,-0.04
9.247,-0.03,0.10,-0.04
9.268,-0.04,0.10,-0.07
9.288,-0.03,0.08,-0.05
9.307,-0.04,0.05,-0.05
9.326,-0.05,0.08,-0.06
9.347,-0.06,0.08,-0.05
9.367,-0.06,0.07,-0.06
9.388,-0.05,0.07,-0.04
9.408,-0.06,0.09,-0.03
9.427,-0.04,0.07,-0.04
9.447,-0.04,0.06,-0.05
9.467,-0.03,0.08,-0.05
9.488,-0.03,0.06,-0.05
9.508,-0.03,0.07,-0.04
9.527,-0.03,0.08,-0.04
9.547,-0.05,0.05,-0.04
9.567,-0.04,0.08,-0.05
9.590,-0.04,0.10,-0.05
9.608,-0.04,0.08,-0.07
